str,str_label,dstr,dstr_label,rgn,rgn_label,area,area_label,chnl,chnl_label,comp,comp_label,clia,clia_label,cliz,cliz_label,stra,stra_label,alta,alta_label,bdst,bdst_label,alt1,alt1_label,clu1,clu1_label,alt2,alt2_label,clu2,clu2_label,alt3,alt3_label,clu3,clu3_label,alt4,alt4_label,clu4,clu4_label,alt5,alt5_label,clu5,clu5_label,alt6,alt6_label,clu6,clu6_label,alt7,alt7_label,clu7,clu7_label,alt8,alt8_label,clu8,clu8_label,alt9,alt9_label,clu9,clu9_label,altb,altb_label,club,club_label,altc,altc_label,cluc,cluc_label
40,滁州天长东路店,1019,滁州市,109,皖北区域,12,华北大区,1,自营店,1,BBG,12102,华北大区中温带,102,中温带,1212100,3年以上,12,华北大区,10,商业街,102100B3,中温带个性休闲B3,100B3,个性休闲B3,102101B2,中温带职业休闲B2,101B2,职业休闲B2,1.02E+08,中温带少女E3,1.02E+05,少女E3,102103D3,中温带淑女D3,103D3,淑女D3,102104A1,中温带搭配品A1,104A1,搭配品A1,102105B2,中温带化妆类B2,105B2,化妆类B2,102106C2,中温带鞋包C2,106C2,鞋包C2,102107A1,中温带发饰链A1,107A1,发饰链A1,102108C2,中温带贴身温馨C2,108C2,贴身温馨C2,102109C4,中温带浪漫居家C4,109C4,浪漫居家C4,102110C4,中温带时尚季节C4,110C4,时尚季节C4
41,安庆人民路店,1020,安庆市,110,皖南区域,12,华北大区,1,自营店,1,BBG,12102,华北大区中温带,102,中温带,1212100,3年以上,12,华北大区,10,商业街,102100C3,中温带个性休闲C3,100C3,个性休闲C3,102101C2,中温带职业休闲C2,101C2,职业休闲C2,1.02E+09,中温带少女E4,1.02E+06,少女E4,1.02E+08,中温带淑女E3,1.03E+05,淑女E3,102104B1,中温带搭配品B1,104B1,搭配品B1,102105C1,中温带化妆类C1,105C1,化妆类C1,102106C1,中温带鞋包C1,106C1,鞋包C1,102107B3,中温带发饰链B3,107B3,发饰链B3,102108D3,中温带贴身温馨D3,108D3,贴身温馨D3,102109D4,中温带浪漫居家D4,109D4,浪漫居家D4,102110D4,中温带时尚季节D4,110D4,时尚季节D4
42,江阴青果路店,1021,江阴市,117,苏南区域,13,华东大区,1,自营店,1,BBG,13102,华东大区中温带,102,中温带,1313100,3年以上,13,华东大区,10,商业街,102100C4,中温带个性休闲C4,100C4,个性休闲C4,102101C4,中温带职业休闲C4,101C4,职业休闲C4,1.02E+09,中温带少女E4,1.02E+06,少女E4,1.02E+08,中温带淑女E3,1.03E+05,淑女E3,102104C2,中温带搭配品C2,104C2,搭配品C2,102105C3,中温带化妆类C3,105C3,化妆类C3,102106D3,中温带鞋包D3,106D3,鞋包D3,102107C3,中温带发饰链C3,107C3,发饰链C3,102108D5,中温带贴身温馨D5,108D5,贴身温馨D5,102109D5,中温带浪漫居家D5,109D5,浪漫居家D5,102110C4,中温带时尚季节C4,110C4,时尚季节C4
43,武汉中山大道1店,1023,武汉市,125,武汉区域,14,华中大区,1,自营店,1,BBG,14102,华中大区中温带,102,中温带,1414100,3年以上,14,华中大区,10,商业街,102100B3,中温带个性休闲B3,100B3,个性休闲B3,102101B2,中温带职业休闲B2,101B2,职业休闲B2,102102D3,中温带少女D3,102D3,少女D3,102103D3,中温带淑女D3,103D3,淑女D3,102104C3,中温带搭配品C3,104C3,搭配品C3,102105C3,中温带化妆类C3,105C3,化妆类C3,102106C3,中温带鞋包C3,106C3,鞋包C3,102107C3,中温带发饰链C3,107C3,发饰链C3,102108D5,中温带贴身温馨D5,108D5,贴身温馨D5,102109D4,中温带浪漫居家D4,109D4,浪漫居家D4,102110D4,中温带时尚季节D4,110D4,时尚季节D4
44,苏州阊胥路店,1025,苏州市,117,苏南区域,13,华东大区,1,自营店,1,BBG,13102,华东大区中温带,102,中温带,1313100,3年以上,13,华东大区,10,商业街,102100C2,中温带个性休闲C2,100C2,个性休闲C2,102101C3,中温带职业休闲C3,101C3,职业休闲C3,102102F3,中温带少女F3,102F3,少女F3,1.02E+08,中温带淑女E3,1.03E+05,淑女E3,102104D3,中温带搭配品D3,104D3,搭配品D3,102105D3,中温带化妆类D3,105D3,化妆类D3,102106D2,中温带鞋包D2,106D2,鞋包D2,102107D3,中温带发饰链D3,107D3,发饰链D3,1.02E+09,中温带贴身温馨E4,1.08E+06,贴身温馨E4,1.02E+09,中温带浪漫居家E4,1.09E+06,浪漫居家E4,1.02E+09,中温带时尚季节E4,1.10E+06,时尚季节E4
45,长沙黄兴南路店,1026,长沙市,126,湘北区域,14,华中大区,1,自营店,1,BBG,14102,华中大区中温带,102,中温带,1414100,3年以上,14,华中大区,11,步行街,102100A1,中温带个性休闲A1,100A1,个性休闲A1,102101A2,中温带职业休闲A2,101A2,职业休闲A2,102102C3,中温带少女C3,102C3,少女C3,102103C3,中温带淑女C3,103C3,淑女C3,102104C3,中温带搭配品C3,104C3,搭配品C3,102105B2,中温带化妆类B2,105B2,化妆类B2,102106A1,中温带鞋包A1,106A1,鞋包A1,102107B3,中温带发饰链B3,107B3,发饰链B3,102108B1,中温带贴身温馨B1,108B1,贴身温馨B1,102109B3,中温带浪漫居家B3,109B3,浪漫居家B3,102110B2,中温带时尚季节B2,110B2,时尚季节B2
46,常德人民中路店,1027,常德市,126,湘北区域,14,华中大区,1,自营店,1,BBG,14102,华中大区中温带,102,中温带,1414100,3年以上,14,华中大区,11,步行街,102100A1,中温带个性休闲A1,100A1,个性休闲A1,102101A2,中温带职业休闲A2,101A2,职业休闲A2,102102D1,中温带少女D1,102D1,少女D1,102103D3,中温带淑女D3,103D3,淑女D3,102104B2,中温带搭配品B2,104B2,搭配品B2,102105A1,中温带化妆类A1,105A1,化妆类A1,102106A1,中温带鞋包A1,106A1,鞋包A1,102107A1,中温带发饰链A1,107A1,发饰链A1,102108B1,中温带贴身温馨B1,108B1,贴身温馨B1,102109A1,中温带浪漫居家A1,109A1,浪漫居家A1,102110B2,中温带时尚季节B2,110B2,时尚季节B2
47,南京新街口店,1002,南京市,115,苏北区域,13,华东大区,1,自营店,1,BBG,13102,华东大区中温带,102,中温带,1313100,3年以上,13,华东大区,10,商业街,102100B3,中温带个性休闲B3,100B3,个性休闲B3,102101B2,中温带职业休闲B2,101B2,职业休闲B2,102102B2,中温带少女B2,102B2,少女B2,102103A2,中温带淑女A2,103A2,淑女A2,102104A1,中温带搭配品A1,104A1,搭配品A1,102105A1,中温带化妆类A1,105A1,化妆类A1,102106B1,中温带鞋包B1,106B1,鞋包B1,102107A1,中温带发饰链A1,107A1,发饰链A1,102108A1,中温带贴身温馨A1,108A1,贴身温馨A1,102109A1,中温带浪漫居家A1,109A1,浪漫居家A1,102110A2,中温带时尚季节A2,110A2,时尚季节A2
48,武汉步行街1店,1023,武汉市,125,武汉区域,14,华中大区,1,自营店,1,BBG,14102,华中大区中温带,102,中温带,1414100,3年以上,14,华中大区,11,步行街,102100A1,中温带个性休闲A1,100A1,个性休闲A1,102101A2,中温带职业休闲A2,101A2,职业休闲A2,102102B2,中温带少女B2,102B2,少女B2,102103A2,中温带淑女A2,103A2,淑女A2,102104A1,中温带搭配品A1,104A1,搭配品A1,102105B3,中温带化妆类B3,105B3,化妆类B3,102106B2,中温带鞋包B2,106B2,鞋包B2,102107B3,中温带发饰链B3,107B3,发饰链B3,102108C2,中温带贴身温馨C2,108C2,贴身温馨C2,102109C4,中温带浪漫居家C4,109C4,浪漫居家C4,102110D4,中温带时尚季节D4,110D4,时尚季节D4
49,南充诺玛特广场店,1029,南充市,104,渝西北区域,15,西南大区,1,自营店,1,BBG,15102,西南大区中温带,102,中温带,1515100,3年以上,15,西南大区,10,商业街,102100C4,中温带个性休闲C4,100C4,个性休闲C4,102101C3,中温带职业休闲C3,101C3,职业休闲C3,1.02E+09,中温带少女E4,1.02E+06,少女E4,1.02E+09,中温带淑女E4,1.03E+06,淑女E4,102104C2,中温带搭配品C2,104C2,搭配品C2,102105C2,中温带化妆类C2,105C2,化妆类C2,102106C2,中温带鞋包C2,106C2,鞋包C2,102107C2,中温带发饰链C2,107C2,发饰链C2,102108C4,中温带贴身温馨C4,108C4,贴身温馨C4,102109D5,中温带浪漫居家D5,109D5,浪漫居家D5,102110C4,中温带时尚季节C4,110C4,时尚季节C4
50,永泰上马路店,1030,永泰县,106,福州区域,11,华南大区,1,自营店,1,BBG,11100,华南大区热带,100,热带,1111100,3年以上,11,华南大区,10,商业街,100100D4,热带个性休闲D4,100D4,个性休闲D4,100101C3,热带职业休闲C3,101C3,职业休闲C3,1.00E+09,热带少女E4,1.02E+06,少女E4,1.00E+09,热带淑女E4,1.03E+06,淑女E4,100104D3,热带搭配品D3,104D3,搭配品D3,100105D2,热带化妆类D2,105D2,化妆类D2,100106D3,热带鞋包D3,106D3,鞋包D3,100107D2,热带发饰链D2,107D2,发饰链D2,1.00E+10,热带贴身温馨E5,1.08E+07,贴身温馨E5,1.00E+09,热带浪漫居家E4,1.09E+06,浪漫居家E4,1.00E+10,热带时尚季节E5,1.10E+07,时尚季节E5
51,徐州淮海西路店,1031,徐州市,115,苏北区域,13,华东大区,1,自营店,1,BBG,13103,华东大区北温带,103,北温带,1313100,3年以上,13,华东大区,10,商业街,103100C4,北温带个性休闲C4,100C4,个性休闲C4,103101C4,北温带职业休闲C4,101C4,职业休闲C4,1.03E+09,北温带少女E4,1.02E+06,少女E4,1.03E+09,北温带淑女E4,1.03E+06,淑女E4,103104B3,北温带搭配品B3,104B3,搭配品B3,103105B3,北温带化妆类B3,105B3,化妆类B3,103106B2,北温带鞋包B2,106B2,鞋包B2,103107A1,北温带发饰链A1,107A1,发饰链A1,103108C2,北温带贴身温馨C2,108C2,贴身温馨C2,103109C4,北温带浪漫居家C4,109C4,浪漫居家C4,103110C4,北温带时尚季节C4,110C4,时尚季节C4
52,亳州新华路店,1032,亳州市,109,皖北区域,12,华北大区,1,自营店,1,BBG,12103,华北大区北温带,103,北温带,1212100,3年以上,12,华北大区,10,商业街,103100B2,北温带个性休闲B2,100B2,个性休闲B2,103101B2,北温带职业休闲B2,101B2,职业休闲B2,103102D1,北温带少女D1,102D1,少女D1,103103D2,北温带淑女D2,103D2,淑女D2,103104C2,北温带搭配品C2,104C2,搭配品C2,103105B2,北温带化妆类B2,105B2,化妆类B2,103106B3,北温带鞋包B3,106B3,鞋包B3,103107B2,北温带发饰链B2,107B2,发饰链B2,103108C2,北温带贴身温馨C2,108C2,贴身温馨C2,103109C2,北温带浪漫居家C2,109C2,浪漫居家C2,103110C3,北温带时尚季节C3,110C3,时尚季节C3
