str,str_label,reg,reg_label,chn,chn_label
120105,长益店,10103,岳益区域,11,大卖场
120106,桃花江店,10103,岳益区域,11,大卖场
120107,桃江店,10103,岳益区域,11,大卖场
120108,益阳沅东店,10103,岳益区域,11,大卖场
120109,衡阳江东店,10102,郴衡区域,11,大卖场
120110,莲城步行街店,10107,湘潭区域,11,大卖场
120111,钧天店,10201,江西区域,11,大卖场
120113,荣家湾店,10103,岳益区域,11,大卖场
120114,怀化鸿瑞店,10105,湘西区域,11,大卖场
120115,熙春路店,10107,湘潭区域,11,大卖场
120193,娄底回龙湾店,10104,娄邵区域,11,大卖场
120203,成都新都店,10401,四川区域,11,大卖场
120214,永州珊瑚路店,10106,永州区域,11,大卖场
139222,家电大卖场都江堰店,30401,家电四川区域,13,家电
139225,家电大卖场合川店,30301,家电重庆区域,13,家电
180003,面包先生加工中心,70101,加工湘潭区域,17,加工
120224,重庆垫江店,10301,重庆区域,11,大卖场
120232,长沙电力学院店,10108,长沙区域,11,大卖场
120241,郴州北湖店,10102,郴衡区域,11,大卖场
120243,重庆汇祥店,10301,重庆区域,11,大卖场
120196,新化天华南路店,10104,娄邵区域,11,大卖场
120198,新余长青路店,10201,江西区域,11,大卖场
130025,家电娄底新化店,30102,家电湘南区域,13,家电
130027,家电邵东兴和店,30102,家电湘南区域,13,家电
120217,常德火车站店,10105,湘西区域,11,大卖场
120206,邵阳人民广场店,10104,娄邵区域,11,大卖场
120207,吉首红旗门店,10105,湘西区域,11,大卖场
120213,郫县红光店,10401,四川区域,11,大卖场
120219,衡阳一中店,10102,郴衡区域,11,大卖场
120222,都江堰店,10401,四川区域,11,大卖场
120225,重庆合川店,10301,重庆区域,11,大卖场
120231,常德西洞庭店,10105,湘西区域,11,大卖场
120209,成都科华南路店,10401,四川区域,11,大卖场
130026,家电吉首红旗店,30102,家电湘南区域,13,家电
130098,家电网上商城,30101,家电湘北区域,13,家电
120210,株洲渌口店,10101,株洲区域,11,大卖场
120211,成都川师店,10401,四川区域,11,大卖场
120215,长沙西站店,10108,长沙区域,11,大卖场
130028,家电长沙西站店,30101,家电湘北区域,13,家电
120212,喜盈门店,10101,株洲区域,11,大卖场
130031,家电益阳赫山店,30101,家电湘北区域,13,家电
120239,浏阳洞阳店,10108,长沙区域,11,大卖场
120238,江西鄱阳店,10201,江西区域,11,大卖场
130034,家电湘潭九华店,30101,家电湘北区域,13,家电
120246,步步高九华店,10107,湘潭区域,11,大卖场
139240,家电大卖场津市店,30101,家电湘北区域,13,家电
120194,长寿东方店,10301,重庆区域,11,大卖场
120199,岳阳太阳桥店,10103,岳益区域,11,大卖场
120200,宁乡玉潭店,10108,长沙区域,11,大卖场
120201,湘潭东方红店,10107,湘潭区域,11,大卖场
180001,PC虚拟店,70101,加工湘潭区域,17,加工
180002,鲜品味虚拟店,70101,加工湘潭区域,17,加工
120220,炎陵金天店,10101,株洲区域,11,大卖场
120226,重庆翼龙店,10301,重庆区域,11,大卖场
120221,永兴店,10102,郴衡区域,11,大卖场
180004,其乐乐加工中心,70101,加工湘潭区域,17,加工
180005,新湘其乐公司,70101,加工湘潭区域,17,加工
str,
120240,常德津市店,10105,湘西区域,11,大卖场
190001,网上超市,60101,电商事业部,16,电商
120218,江西信丰店,10201,江西区域,11,大卖场
130032,家电郴州北湖店,30102,家电湘南区域,13,家电
120197,分宜昌山路店,10201,江西区域,11,大卖场
120202,重庆回兴店,10301,重庆区域,11,大卖场
120204,邵阳高沙店,10104,娄邵区域,11,大卖场
120205,邵东兴和店,10104,娄邵区域,11,大卖场
130030,家电湘潭购广店,30101,家电湘北区域,13,家电
120234,常德人民中路店,10105,湘西区域,11,大卖场
120235,重庆永川中山路店,10301,重庆区域,11,大卖场
120244,平江百花台店,10103,岳益区域,11,大卖场
120195,柳州广场路店,10501,广西区域,11,大卖场
120208,韶山店,10107,湘潭区域,11,大卖场
120216,易俗河广场店,10107,湘潭区域,11,大卖场
130029,家电易俗河店,30101,家电湘北区域,13,家电
139023,家电大卖场永州店,30102,家电湘南区域,13,家电
139027,家电大卖场湘乡店,30101,家电湘北区域,13,家电
139028,家电大卖场祁阳店,30102,家电湘南区域,13,家电
139033,家电大卖场金海店,30101,家电湘北区域,13,家电
139056,家电大卖场红星店,30101,家电湘北区域,13,家电
139065,家电大卖场桂阳店,30102,家电湘南区域,13,家电
139106,家电大卖场桃花江店,30101,家电湘北区域,13,家电
139122,家电大卖场南国店,30101,家电湘北区域,13,家电
139123,家电大卖场武冈店,30102,家电湘南区域,13,家电
139124,家电大卖场靖州店,30102,家电湘南区域,13,家电
139134,家电大卖场道县店,30102,家电湘南区域,13,家电
139135,家电大卖场王府店,30101,家电湘北区域,13,家电
139146,家电大卖场醴陵店,30101,家电湘北区域,13,家电
139153,家电大卖场多伦店,30101,家电湘北区域,13,家电
139155,家电大卖场安化店,30101,家电湘北区域,13,家电
139159,家电大卖场喜乐地店,30101,家电湘北区域,13,家电
139160,家电大卖场双牌店,30102,家电湘南区域,13,家电
139161,家电大卖场礼花路店,30101,家电湘北区域,13,家电
139163,家电大卖场郭亮路店,30101,家电湘北区域,13,家电
139164,家电大卖场金星店,30101,家电湘北区域,13,家电
139168,家电大卖场宁远店,30102,家电湘南区域,13,家电
139170,家电大卖场金鄂店,30101,家电湘北区域,13,家电
139178,家电超市新正街店,30102,家电湘南区域,13,家电
139179,家电大卖场吉首店,30102,家电湘南区域,13,家电
139185,家电大卖场衡阳店,30102,家电湘南区域,13,家电
139186,家电大卖场双峰店,30102,家电湘南区域,13,家电
139189,家电大卖场王家湾店,30101,家电湘北区域,13,家电
139190,家电大卖场阳光店,30102,家电湘南区域,13,家电
139191,家电大卖场东站店,30101,家电湘北区域,13,家电
139194,家电大卖场长寿店,30301,家电重庆区域,13,家电
139199,家电大卖场太阳桥店,30101,家电湘北区域,13,家电
139200,家电大卖场玉潭店,30101,家电湘北区域,13,家电
139201,家电大卖场东方红店,30101,家电湘北区域,13,家电
139203,家电大卖场新都店,30401,家电四川区域,13,家电
139206,家电大卖场人防店,30102,家电湘南区域,13,家电
139211,家电大卖场川师店,30401,家电四川区域,13,家电
139213,家电大卖场郫县店,30401,家电四川区域,13,家电
